cdc_id,PID,title,authors,publication_date,landing_page,pdf_url,local_pdf,screening_status,prevention_score,treatment_score
20446,cdc:20446,"Pedometer Use Among Adults at High Risk of Type 2 Diabetes, Finland, 2007-2008","Korkiakangas\, Eveliina,Alahuhta\, Maija A.,Laitinen\, Jaana H,Husman\, Päivi M.,Keinänen-Kiukaanniemi\, Sirkka,Taanila\, Anja M.",,https://stacks.cdc.gov/view/cdc/20446,https://stacks.cdc.gov/view/cdc/20446/cdc_20446_DS1.pdf,source_documents/cdc_20446.pdf,Maybe,1,0
20369,cdc:20369,A Socioeconomic Analysis of Obesity and Diabetes in New York City,"Wallach\, Jonathan B.,Rey\, Mariano J.",,https://stacks.cdc.gov/view/cdc/20369,https://stacks.cdc.gov/view/cdc/20369/cdc_20369_DS1.pdf,source_documents/cdc_20369.pdf,Maybe,1,0
20101,cdc:20101,The Epidemic of Extreme Obesity Among American Indian and Alaska Native Adults With Diabetes,"Wilson\, Charlton,Gilliland\, Susan,Moore\, Kelly,Acton\, Kelly",,https://stacks.cdc.gov/view/cdc/20101,https://stacks.cdc.gov/view/cdc/20101/cdc_20101_DS1.pdf,source_documents/cdc_20101.pdf,Maybe,1,2
20106,cdc:20106,The Healthy Diabetes Plate,"Raidl\, Martha,Spain\, Kristina,Hartman-Cunningham\, Mimi,Lanting\, Rhea,Lockard\, Marsha,Johnson\, Shelly,Spencer\, Marnie,Sant\, Laura,Welch\, Julia,Liddil\, Audrey",,https://stacks.cdc.gov/view/cdc/20106,https://stacks.cdc.gov/view/cdc/20106/cdc_20106_DS1.pdf,source_documents/cdc_20106.pdf,Maybe,1,0
4069,cdc:4069,Predictors of Dropouts From a San Diego Diabetes Program: A Case Control Study,"Benoit\, Stephen R.,Ji\, Ming,Fleming\, Regina,Philis-Tsimikas\, Athena",,https://stacks.cdc.gov/view/cdc/4069,https://stacks.cdc.gov/view/cdc/4069/cdc_4069_DS1.pdf,source_documents/cdc_4069.pdf,Maybe,1,0
151104,cdc:151104,"Public Belief in the Maternal Health Benefits of Breastfeeding — United States, 2018 and 2021","Boundy\, Ellen O.,Nelson\, Jennifer M.,Li\, Ruowei",,https://stacks.cdc.gov/view/cdc/151104,https://stacks.cdc.gov/view/cdc/151104/cdc_151104_DS1.pdf,source_documents/cdc_151104.pdf,Maybe,0,0
54001,cdc:54001,Health Care Disparities Between Men and Women With Type 2 Diabetes,"Mesa\, Marady Sabiaga",,https://stacks.cdc.gov/view/cdc/54001,https://stacks.cdc.gov/view/cdc/54001/cdc_54001_DS1.pdf,source_documents/cdc_54001.pdf,Maybe,0,0
40971,cdc:40971,"Racial/Ethnic Disparities in Primary Care Quality Among Type 2 Diabetes Patients, Medical Expenditure Panel Survey, 2012","Hu\, Ruwei,Shi\, Leiyu,Liang\, Hailun,Haile\, Geraldine Pierre,Lee\, De-Chih",,https://stacks.cdc.gov/view/cdc/40971,https://stacks.cdc.gov/view/cdc/40971/cdc_40971_DS1.pdf,source_documents/cdc_40971.pdf,Maybe,0,2
20203,cdc:20203,"Variation in Quality of Diabetes Care at the Levels of Patient, Physician, and Clinic","O'Connor\, Patrick J,Rush\, William A,Solberg\, Leif I,Whitebird\, Robin R,Crain\, A Lauren,Davidson\, Gestur,Johnson\, Paul E,Louis\, Thomas A",,https://stacks.cdc.gov/view/cdc/20203,https://stacks.cdc.gov/view/cdc/20203/cdc_20203_DS1.pdf,source_documents/cdc_20203.pdf,Maybe,0,2
19890,cdc:19890,Toward Prevention and Control of Type 2 Diabetes: Challenges at the U.S.-Mexico Border and Beyond1,"Bowman\, Barbara A,Vinicor\, Frank",,https://stacks.cdc.gov/view/cdc/19890,https://stacks.cdc.gov/view/cdc/19890/cdc_19890_DS1.pdf,source_documents/cdc_19890.pdf,Maybe,0,0
120395,cdc:120395,Urban–Rural Differences in Health Care Utilization and COVID-19 Outcomes in Patients With Type 2 Diabetes,"Hirsch\, Annemarie G.,Nordberg\, Cara M.,Bandeen-Roche\, Karen,Pollak\, Jonathan,Poulsen\, Melissa N.,Moon\, Katherine A.,Schwartz\, Brian S.",,https://stacks.cdc.gov/view/cdc/120395,https://stacks.cdc.gov/view/cdc/120395/cdc_120395_DS1.pdf,source_documents/cdc_120395.pdf,Exclude,1,5
